field_1,E19301166
"1582","88247"
"1583","31639"
"1584","49825"
"1585","64829"
"1586","47558"
"1587","37398"
"1588","66560"
"1589","52796"
"1590","55495"
"1591","69003"
"1592","72597"
"1593","74861"
"1594","21010"
"1595","51838"
"1596","51220"
"1597","57414"
"1598","46681"
"1599","94873"
"1600","99634"
"1601","78579"
"1602","25008"
"1603","46838"
"1604","49710"
"1605","49056"
"1606","36991"
"1607","33786"
"1608","57414"
"1609","55495"
"1610","55495"
"1611","78512"
"1612","46461"
"1613","30170"
"1614","58294"
"1615","58767"
"1616","71657"
"1617","54452"
"1618","46681"
"1619","33786"
"1620","41073"
"1621","35891"
"1622","52378"
"1623","26602"
"1624","72133"
"1625","81787"
"1626","94873"
"1627","36189"
"1628","42180"
"1629","70450"
"1630","73919"
"1631","26602"
"1632","36991"
"1633","43947"
"1634","21944"
"1635","49307"
"1636","41834"
"1637","59510"
"1638","66589"
"1639","65900"
"1640","47957"
"1641","33808"
"1642","30959"
"1643","78574"
"1644","48624"
"1645","59487"
"1646","24650"
"1647","57042"
"1648","42230"
"1649","24063"
"1650","21944"
"1651","69419"
"1652","32077"
"1653","53533"
"1654","45947"
"1655","32264"
"1656","36224"
"1657","69003"
"1658","44355"
"1659","43454"
"1660","70450"
"1661","69649"
"1662","57493"
"1663","69251"
"1664","24949"
"1665","39532"
"1666","75649"
"1667","40266"
"1668","63974"
"1669","47620"
"1670","42180"
"1671","30170"
"1672","64197"
"1673","27629"
"1674","62659"
"1675","33456"
"1676","26777"
"1677","39532"
"1678","64988"
"1679","74861"
"1680","34818"
"1681","53533"
"1682","65900"
"1683","81170"
"1684","41834"
"1685","47863"
"1686","47797"
"1687","76914"
"1688","53533"
"1689","26111"
"1690","78461"
"1691","47957"
"1692","41903"
"1693","41068"
"1694","41073"
"1695","65311"
"1696","45935"
"1697","57493"
"1698","36664"
"1699","59214"
"1700","38285"
"1701","41183"
"1702","45935"
"1703","20783"
"1704","88017"
"1705","37398"
"1706","35547"
"1707","53236"
"1708","55202"
"1709","28972"
"1710","37830"
"1711","37504"
"1712","57042"
"1713","34530"
"1714","110107"
"1715","64829"
"1716","61307"
"1717","41183"
"1718","99634"
"1719","46482"
"1720","63752"
"1721","50386"
"1722","63752"
"1723","36664"
"1724","30088"
"1725","36664"
"1726","26602"
"1727","66859"
"1728","71691"
"1729","23848"
"1730","119331"
"1731","71139"
"1732","59487"
"1733","40266"
"1734","47757"
"1735","27833"
"1736","44355"
"1737","78461"
"1738","74920"
"1739","41387"
"1740","32528"
"1741","46974"
"1742","64996"
"1743","42424"
"1744","54271"
"1745","39993"
"1746","59487"
"1747","43564"
"1748","39088"
"1749","44330"
"1750","54452"
"1751","70724"
"1752","78579"
"1753","43274"
"1754","59387"
"1755","35524"
"1756","62464"
"1757","41834"
"1758","59510"
"1759","32644"
"1760","52339"
"1761","71691"
"1762","64988"
"1763","37380"
"1764","57466"
"1765","41834"
"1766","76416"
"1767","26602"
"1768","71283"
"1769","32633"
"1770","43235"
"1771","28972"
"1772","51838"
"1773","50530"
"1774","37380"
"1775","22842"
"1776","69428"
"1777","49580"
"1778","68559"
"1779","81398"
"1780","40012"
"1781","47558"
"1782","66934"
"1783","36224"
"1784","51003"
"1785","53439"
"1786","34199"
"1787","35765"
"1788","46694"
"1789","73791"
"1790","41068"
"1791","32077"
"1792","76416"
"1793","50530"
"1794","60855"
"1795","29017"
"1796","49580"
"1797","37355"
"1798","26111"
"1799","78579"
"1800","39532"
"1801","69970"
"1802","44322"
"1803","44946"
"1804","59236"
"1805","47758"
"1806","69419"
"1807","51206"
"1808","36189"
"1809","24731"
"1810","41165"
"1811","51943"
"1812","50530"
"1813","54271"
"1814","71657"
"1815","88017"
"1816","119331"
"1817","65311"
"1818","37398"
"1819","64988"
"1820","53236"
"1821","64829"
"1822","44946"
"1823","51087"
"1824","59487"
"1825","35239"
"1826","57414"
"1827","72597"
"1828","64829"
"1829","59277"
"1830","65608"
"1831","47620"
"1832","26275"
"1833","56952"
"1834","36664"
"1835","25217"
"1836","73791"
"1837","41183"
"1838","65608"
"1839","78579"
"1840","64996"
"1841","74861"
"1842","71990"
"1843","37380"
"1844","68559"
"1845","51087"
"1846","78574"
"1847","45947"
"1848","36057"
"1849","51570"
"1850","41097"
"1851","26777"
"1852","41834"
"1853","36621"
"1854","40012"
"1855","73791"
"1856","70799"
"1857","59885"
"1858","65900"
"1859","64829"
"1860","76225"
"1861","71990"
"1862","26602"
"1863","26602"
"1864","85887"
"1865","36189"
"1866","50680"
"1867","46974"
"1868","44355"
"1869","27629"
"1870","59487"
